url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/sprzedam-dom-jednorodzinny-ID46uWY.html#c9e6776b95,Sprzedam dom jednorodzinny,"Ząbkowice Śląskie, ząbkowicki, dolnośląskie",6 pokoi,610 000 zł,180 m²,działka 4 500 m²
https://www.otodom.pl/oferta/dom-kolonia-nieszawa-ID46Jq4.html#c9e6776b95,Dom Kolonia Nieszawa,"Kolonia Nieszawa, opolski, lubelskie",4 pokoje,310 500 zł,258 m²,działka 4 163 m²
https://www.otodom.pl/oferta/dom-z-widokiem-na-skawine-tyniec-krakow-ID46hfB.html#c9e6776b95,"Dom z widokiem na Skawinę, Tyniec, Kraków","Buków, krakowski, małopolskie",3 pokoje,375 000 zł,135 m²,działka 500 m²
https://www.otodom.pl/oferta/zagospodarowane-siedlisko-z-sadem-0-95ha-niewirkow-ID44OQP.html#c9e6776b95,"Zagospodarowane siedlisko z sadem 0,95ha Niewirków","Niewirków, zamojski, lubelskie",2 pokoje,135 000 zł,70 m²,działka 9 500 m²
https://www.otodom.pl/oferta/nieruchomosc-we-wrzesni-centrum-nowa-cena-okazja-ID42UaU.html#c9e6776b95,Nieruchomość we Wrześni-centrum-NOWA CENA-okazja!,"Września, wrzesiński, wielkopolskie",6 pokoi,489 000 zł,180 m²,działka 100 m²
https://www.otodom.pl/oferta/szczytno-sprzedam-dom-jednorodzinny-z-ogrodem-ID452Ib.html#c9e6776b95,Szczytno - Sprzedam DOM JEDNORODZINNY z ogrodem,"Szczytno, szczycieński, warmińsko-mazurskie",5 pokoi,520 000 zł,240 m²,działka 590 m²
https://www.otodom.pl/oferta/dom-110-m-brodnica-ID46JpB.html#c9e6776b95,"Dom, 110 m², Brodnica","Brodnica, brodnicki, kujawsko-pomorskie",6 pokoi,350 000 zł,110 m²,działka 450 m²
https://www.otodom.pl/oferta/dom-60-m-ciechocinek-ID46JpA.html#c9e6776b95,"Dom, 60 m², Ciechocinek","Ciechocinek, aleksandrowski, kujawsko-pomorskie",2 pokoje,137 000 zł,60 m²,działka 754 m²
https://www.otodom.pl/oferta/odnowione-pol-blizniaka-w-sercu-starego-grunwaldu-ID46odS.html#c9e6776b95,Odnowione pół bliźniaka w sercu Starego Grunwaldu,"Poznań, Grunwald, Marcelin",5 pokoi,890 000 zł,210 m²,działka 628 m²
https://www.otodom.pl/oferta/atrakcyjny-segment-nowoursynowska-bezposrednio-ID45MJ6.html#c9e6776b95,"Atrakcyjny segment, Nowoursynowska. Bezpośrednio!","Warszawa, Ursynów",6 pokoi,2 400 000 zł,340 m²,działka 140 m²
https://www.otodom.pl/oferta/atrakcyjna-dzielnica-poznan-super-osiedle-ID466Q4.html#c9e6776b95,Atrakcyjna dzielnica Poznań - Super osiedle,"Poznań, wielkopolskie",5 pokoi,594 000 zł,91 m²,działka 149 m²
https://www.otodom.pl/oferta/dom-514-m-warszawa-ID46Jpg.html#c9e6776b95,"Dom, 514 m², Warszawa","Warszawa, Włochy, Nowe Włochy",>10 pokoi,4 070 000 zł,514 m²,działka 699 m²
https://www.otodom.pl/oferta/dom-wolnostojacy-190m-na-dzialce-900m-ID4674T.html#c9e6776b95,Dom wolnostojący 190m na działce 900m,"Warszawa, Białołęka",4 pokoje,1 500 000 zł,190 m²,działka 900 m²
https://www.otodom.pl/oferta/sprzedam-dom-okazja-ID44BDg.html#c9e6776b95,Sprzedam dom. Okazja.,"Warszawa, Białołęka",5 pokoi,1 499 000 zł,300 m²,działka 1 255 m²
https://www.otodom.pl/oferta/dom-220-m2-osobowice-podzielony-na-3-mieszkania-ID46CQA.html#c9e6776b95,Dom 220 m2|Osobowice|podzielony na 3 mieszkania|,"Wrocław, Psie Pole, Osobowice",8 pokoi,889 000 zł,220 m²,działka 400 m²
https://www.otodom.pl/oferta/dom-6-pokoi-brzezina-tani-w-utrzymaniu-lesnica-ID46CQy.html#c9e6776b95,Dom|6 pokoi|Brzezina|tani w utrzymaniu|Leśnica,"Brzezina, średzki, dolnośląskie",6 pokoi,698 000 zł,160 m²,działka 850 m²
https://www.otodom.pl/oferta/dom-caloroczny-stan-nowy-malownicza-okolica-ID45ZTv.html#c9e6776b95,"Dom - całoroczny, stan nowy, malownicza okolica !","Siedlów, opoczyński, łódzkie",3 pokoje,320 000 zł,85 m²,działka 1 600 m²
