url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/nowy-dom-w-jankach-ID46uXA.html#1e0c99d02c,Nowy dom w Jankach,"Janki, pruszkowski, mazowieckie",6 pokoi,950 000 zł,176 m²,działka 506 m²
https://www.otodom.pl/oferta/osiedle-siczki-jedlnia-letnisko-ID3koDg.html#1e0c99d02c,Osiedle Siczki/Jedlnia-Letnisko,"Radom, mazowieckie",6 pokoi,250 000 zł,175 m²,działka 900 m²
https://www.otodom.pl/oferta/wlasciciel-sprzeda-domy-wolnostojace-pod-krakowem-ID42YPh.html#1e0c99d02c,Właściciel sprzeda domy wolnostojące pod Krakowem,"Baranówka, krakowski, małopolskie",4 pokoje,550 000 zł,"139,18 m²",działka 600 m²
https://www.otodom.pl/oferta/dom-na-dzialce-z-mozliwa-zabudowa-do-5-kondygnacji-ID3yPKn.html#1e0c99d02c,dom na działce z mozliwą zabudową do 5 kondygnacji,"Nowy Dwór Mazowiecki, nowodworski, mazowieckie",6 pokoi,950 000 zł,180 m²,działka 1 050 m²
https://www.otodom.pl/oferta/dom-w-zabudowie-szeregowej-mieszkanie-na-pietrze-ID44x2o.html#1e0c99d02c,Dom w zabudowie szeregowej - mieszkanie na piętrze,"Mędłów, wrocławski, dolnośląskie",4 pokoje,370 000 zł,"105,84 m²",działka 100 m²
https://www.otodom.pl/oferta/dom-460-m2-powierzchni-w-gilowicach-stan-surowy-ID46hfA.html#1e0c99d02c,Dom 460 m2 powierzchni w Gilowicach - stan surowy.,"Gilowice, żywiecki, śląskie",>10 pokoi,549 000 zł,460 m²,działka 1 877 m²
https://www.otodom.pl/oferta/osiedle-laziska-twoj-dom-w-poblizu-boleslawca-ID43f95.html#1e0c99d02c,"Osiedle Łaziska, Twój dom w pobliżu Bolesławca","Bolesławiec, bolesławiecki, dolnośląskie",4 pokoje,429 000 zł,"106,10 m²",działka 335 m²
https://www.otodom.pl/oferta/komfortowy-dom-w-pieknej-okolicy-ID46JpH.html#1e0c99d02c,Komfortowy Dom W Pięknej Okolicy !,"Straszyn, gdański, pomorskie",4 pokoje,695 000 zł,"146,76 m²",działka 210 m²
https://www.otodom.pl/oferta/nowe-domy-ksawerow-osiedle-nad-stawem-ID46z2G.html#1e0c99d02c,"Nowe domy Ksawerów, osiedle nad stawem","Ksawerów, pabianicki, łódzkie",5 pokoi,860 000 zł,142 m²,działka 250 m²
https://www.otodom.pl/oferta/komfortowy-dom-w-pieknej-okolicy-ID46Jpq.html#1e0c99d02c,Komfortowy Dom W Pięknej Okolicy !,"Straszyn, gdański, pomorskie",4 pokoje,695 000 zł,"146,76 m²",działka 210 m²
